dish_id,name_vi,region,serving_g,verified_by,note
MNMN-SALAD-RONG-NHO-DAU-HU,Salad Rong Nho Đậu Hũ,,80.0,pending,"Trich JSON-LD schema.org/Recipe tu https://monngonmoingay.com/salad-rong-nho-dau-hu/ (crawl 2026-08-08, robots.txt cho phep ClaudeBot). Chi lay nguyen lieu ghi ro g/kg/ml/l; ml quy doi 1ml=1g. R2 CAN DUYET gram truoc khi dung cho benh nhan."
MNMN-KHOAI-TAY-LAC-LAZY,Khoai tây lắc lazy,,100.0,pending,"Trich JSON-LD schema.org/Recipe tu https://monngonmoingay.com/khoai-tay-lac-lazy/ (crawl 2026-08-08, robots.txt cho phep ClaudeBot). Chi lay nguyen lieu ghi ro g/kg/ml/l; ml quy doi 1ml=1g. R2 CAN DUYET gram truoc khi dung cho benh nhan."
MNMN-KHOAI-TAY-NUONG-PHO-MAI-2,Khoai Tây Nướng Phô Mai,,150.0,pending,"Trich JSON-LD schema.org/Recipe tu https://monngonmoingay.com/khoai-tay-nuong-pho-mai-2/ (crawl 2026-08-08, robots.txt cho phep ClaudeBot). Chi lay nguyen lieu ghi ro g/kg/ml/l; ml quy doi 1ml=1g. R2 CAN DUYET gram truoc khi dung cho benh nhan."
MNMN-TOM-CHIEN-XOT-MAYO,Tôm Chiên Xốt Mayo,,340.0,pending,"Trich JSON-LD schema.org/Recipe tu https://monngonmoingay.com/tom-chien-xot-mayo/ (crawl 2026-08-08, robots.txt cho phep ClaudeBot). Chi lay nguyen lieu ghi ro g/kg/ml/l; ml quy doi 1ml=1g. R2 CAN DUYET gram truoc khi dung cho benh nhan."
