dish_id,name_vi,name_en,region,origin,roles,serving_g,verified_by,note
FNDDS-2705452,,"Frozen yogurt, vanilla",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705452"
FNDDS-2705453,,"Frozen yogurt, chocolate",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705453"
FNDDS-2705454,,"Frozen yogurt, soft serve, vanilla",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705454"
FNDDS-2705456,,Frozen yogurt sandwich,,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705456"
FNDDS-2705457,,"Frozen yogurt bar, vanilla",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705457"
FNDDS-2705458,,"Frozen yogurt bar, chocolate",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705458"
FNDDS-2705459,,"Frozen yogurt cone, chocolate",,foreign,,125,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705459"
FNDDS-2705460,,"Frozen yogurt cone, vanilla",,foreign,,125,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705460"
FNDDS-2705461,,"Frozen yogurt cone, vanilla, waffle cone",,foreign,,255,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705461"
FNDDS-2705462,,"Frozen yogurt cone, chocolate, waffle cone",,foreign,,255,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705462"
FNDDS-2705466,,"Chocolate milk, NFS",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705466"
FNDDS-2705467,,"Chocolate milk, whole",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705467"
FNDDS-2705468,,"Chocolate milk, reduced fat (2%)",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705468"
