food_description_en,total_purine_mg_100g,n_samples,country_of_origin,year,source_group,source_code,source_citation
Tofu burger,102.6,1,Czech Republic,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Vegetarian 'Ba Sa fish' from soy,82.52,1,Vietnam,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Vegetarian 'meatloaf' or patties,42.08,2,"Czech Republic, Great Britain",2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Vegetarian 'quail's eggs',0.04,1,Vietnam,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Vegetarian 'steak' from wheat (Robi' schnitzels),21.01,1,Czech Republic,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Vegetarian tender 'shrimp',0.06,1,Vietnam,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
"Veggie burgers or soyburgers, unprepared",65.49,7,"Czech Republic, Great Britain",2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Vegi 'steak' from soy,62.06,1,Czech Republic,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Vegideli fish style fingers,67.3,1,Great Britain,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Beer for export (higher wort content than typical Austrian Lager),10.66,1,"Austria, Hungary, Romania, Poland",2002,alcohol,m,"Klampfl, C.W., et al. (2002). Determination of purines and pyrimidines in beer samples by capillary zone electrophoresis. Analytica Chimica Acta, 454(2), 185-91. [Austria, Hungary, Romania, Poland, 2002]"
"Beer, ‘regular’ type, various brands",8.48,38,"Japan, Austria, Hungary, Romania, Poland","2013, 2009, 2002",alcohol,"k,l,m",
"Beer, dark",13.51,1,"Austria, Hungary, Romania, Poland",2002,alcohol,m,"Klampfl, C.W., et al. (2002). Determination of purines and pyrimidines in beer samples by capillary zone electrophoresis. Analytica Chimica Acta, 454(2), 185-91. [Austria, Hungary, Romania, Poland, 2002]"
"Beer, from wheat",8.05,1,"Austria, Hungary, Romania, Poland",2002,alcohol,m,"Klampfl, C.W., et al. (2002). Determination of purines and pyrimidines in beer samples by capillary zone electrophoresis. Analytica Chimica Acta, 454(2), 185-91. [Austria, Hungary, Romania, Poland, 2002]"
"Beer, low alcohol",4.62,12,"Japan, Austria, Hungary, Romania, Poland","2009, 2002",alcohol,"l,m",
"Beer, Pils",9.83,1,"Austria, Hungary, Romania, Poland",2002,alcohol,m,"Klampfl, C.W., et al. (2002). Determination of purines and pyrimidines in beer samples by capillary zone electrophoresis. Analytica Chimica Acta, 454(2), 185-91. [Austria, Hungary, Romania, Poland, 2002]"
Brandy,0.38,1,Japan,2009,alcohol,l,"Kaneko, K.,et al. (2009). Determination of purine contents of alcoholic beverages using high performance liquid chromatography. Biomedical Chromatography, 23(8), 858-64. [Japan, 2009]"
"Malt beverage, including non-alcoholic beer",2.93,15,"Japan, Austria, Hungary, Romania, Poland","2013, 2009, 2002",alcohol,"k,l,m",
Radler (beer and lemonade mixture),3.58,1,"Austria, Hungary, Romania, Poland",2002,alcohol,m,"Klampfl, C.W., et al. (2002). Determination of purines and pyrimidines in beer samples by capillary zone electrophoresis. Analytica Chimica Acta, 454(2), 185-91. [Austria, Hungary, Romania, Poland, 2002]"
Sake,1.41,3,Japan,2009,alcohol,l,"Kaneko, K.,et al. (2009). Determination of purine contents of alcoholic beverages using high performance liquid chromatography. Biomedical Chromatography, 23(8), 858-64. [Japan, 2009]"
Shochu (Japanese spirit liquor),0.02,2,Japan,2009,alcohol,l,"Kaneko, K.,et al. (2009). Determination of purine contents of alcoholic beverages using high performance liquid chromatography. Biomedical Chromatography, 23(8), 858-64. [Japan, 2009]"
Shoko-shu (Chinese liquor),9.65,2,Japan,2009,alcohol,l,"Kaneko, K.,et al. (2009). Determination of purine contents of alcoholic beverages using high performance liquid chromatography. Biomedical Chromatography, 23(8), 858-64. [Japan, 2009]"
Ume liqueur,0.19,1,Japan,2009,alcohol,l,"Kaneko, K.,et al. (2009). Determination of purine contents of alcoholic beverages using high performance liquid chromatography. Biomedical Chromatography, 23(8), 858-64. [Japan, 2009]"
Whiskey,0.21,2,Japan,2009,alcohol,l,"Kaneko, K.,et al. (2009). Determination of purine contents of alcoholic beverages using high performance liquid chromatography. Biomedical Chromatography, 23(8), 858-64. [Japan, 2009]"
Wine,1.19,3,Japan,2009,alcohol,l,"Kaneko, K.,et al. (2009). Determination of purine contents of alcoholic beverages using high performance liquid chromatography. Biomedical Chromatography, 23(8), 858-64. [Japan, 2009]"
