food_description_en,total_purine_mg_100g,n_samples,country_of_origin,year,source_group,source_code,source_citation
"Chicken thigh, raw",141.7,65,USA,"1983, 1980, 1982",NAm,"h,i,j",
"Chicken thigh, roasted",148.9,16,USA,1982,NAm,j,"Young, L.L. Purine content of raw and roasted chicken broiler meat. (1982). Journal of Food Science, 47(4), 1374-5. [USA, 1982]"
"Chicken thigh, stewed",146.3,24,USA,1983,NAm,h,"Young, L.L. Effect of stewing on purine content of broiler tissues. (1983). Journal of Food Science, 48(1), 315-6. [USA, 1983]"
"Chicken, ground, raw",158.7,1,Canada,1985,NAm,g,"Sarwar, G., et al. (1985). Purine content and protein quality of mechanically separated poultry meat products produced in Canada. Canadian Institute of Food Science and Technology Journal, 18(3), 251-5. [Canada, 1985]"
"Chicken, ground, raw",235.6,6,USA,2024,NAm,USDA,
"Poultry, mechanically deboned, from backs and necks with skin, raw",93.6,10,USA,1980,NAm,i,"Young, L.L. Evaluation of four purine compounds in poultry products. (1980). Journal of Food Science, 45(4), 1064-5. [USA, 1980]"
"Poultry, mechanically deboned, from backs and necks with skin, raw",72.9,2,Canada,1985,NAm,g,"Sarwar, G., et al. (1985). Purine content and protein quality of mechanically separated poultry meat products produced in Canada. Canadian Institute of Food Science and Technology Journal, 18(3), 251-5. [Canada, 1985]"
"Poultry, mechanically deboned, from mature hens, raw",79.81,3,Canada,1985,NAm,g,"Sarwar, G., et al. (1985). Purine content and protein quality of mechanically separated poultry meat products produced in Canada. Canadian Institute of Food Science and Technology Journal, 18(3), 251-5. [Canada, 1985]"
"Turkey, ground, raw",96.0,1,Canada,1985,NAm,g,"Sarwar, G., et al. (1985). Purine content and protein quality of mechanically separated poultry meat products produced in Canada. Canadian Institute of Food Science and Technology Journal, 18(3), 251-5. [Canada, 1985]"
"Turkey, ground, raw",95.7,6,USA,2024,NAm,USDA,
"Turkey, mechanically deboned, from turkey frames, raw",79.08,1,Canada,1985,NAm,g,"Sarwar, G., et al. (1985). Purine content and protein quality of mechanically separated poultry meat products produced in Canada. Canadian Institute of Food Science and Technology Journal, 18(3), 251-5. [Canada, 1985]"
"Frankfurter, beef, unheated",114.9,6,USA,2024,NAm,USDA,
"Frankfurter, beef, heated4",115.2,6,USA,2024,NAm,USDA,
"Frankfurter, mixed meat, unheated",169.5,5,USA,2024,NAm,USDA,
"Frankfurter, mixed meat, heated4",159.3,5,USA,2024,NAm,USDA,
"Luncheon meat, ham, ready-to-eat",250.42,6,USA,2024,NAm,USDA,
"Luncheon meat, turkey, ready-to-eat",235.16,6,USA,2024,NAm,USDA,
Luncheon meat (unspecified),58.3,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Salami, genoa, pork, beef",246.2,3,USA,2024,NAm,USDA,
"Salami, dry or hard, pork, beef",215.1,3,USA,2024,NAm,USDA,
"Brussels sprouts, raw",38.8,8,USA,2024,NAm,USDA,
"Cabbage, bok choy, raw",10.0,8,USA,2024,NAm,USDA,
"Cauliflower, raw",33.0,8,USA,2024,NAm,USDA,
"Collards, raw",26.1,8,USA,2024,NAm,USDA,
"Mushrooms (not further specified), raw",46.9,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Mushrooms, canned",24.6,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Squash, winter, butternut, raw",9.2,8,USA,2024,NAm,USDA,
